														
			Ro+F5:M203w Labels	Max of  High	Min of  Low	Row Labels	Sum of  Open			63	57		120	0.579710145
			31-Jan	88.25	86.34	31-Jan	87.58							
			01-Feb	88.87	86.55	01-Feb	87.61	FALSE	FALSE	1				
			02-Feb	89.46	87.1	02-Feb	88.75	FALSE	FALSE	2				
			03-Feb	90.37	87.3	03-Feb	87.69	FALSE	FALSE	3				
			04-Feb	93.17	91.76	04-Feb	92.06	TRUE	FALSE	4				
			07-Feb	92.26	90.88	07-Feb	91.41	FALSE	TRUE	5				
			08-Feb	90.31	88.51	08-Feb	89.96	FALSE	TRUE	6				
			09-Feb	90.58	88.91	09-Feb	89.76	FALSE	FALSE	7				
			10-Feb	91.74	89.03	10-Feb	89.61	FALSE	FALSE	8				
			11-Feb	94.66	90.63	11-Feb	90.95	FALSE	FALSE	9				
			14-Feb	95.82	92.19	14-Feb	92.47	FALSE	FALSE	10				
			15-Feb	92.82	90.66	15-Feb	91.81	FALSE	TRUE	11				
			16-Feb	95.01	92.88	16-Feb	93.34	TRUE	FALSE	12				
			17-Feb	91.04	89.06	17-Feb	89.33	FALSE	TRUE	13				
			18-Feb	91.07	87.73	18-Feb	88.16	FALSE	TRUE	14				
			21-Feb	92.95	90.5	21-Feb	90.81	FALSE	FALSE	15				
			22-Feb	93.59	91.04	22-Feb	93.42	TRUE	FALSE	16				
			23-Feb	93.9	91.28	23-Feb	91.68	FALSE	FALSE	17				
			24-Feb	99.73	91.45	24-Feb	99.04	TRUE	FALSE	18				
			25-Feb	92.98	90.06	25-Feb	92.13	FALSE	FALSE	19				
			28-Feb	96.84	94.43	28-Feb	95.01	TRUE	FALSE	20				
			01-Mar	106.78	100.44	01-Mar	101.07	TRUE	FALSE	21				
			02-Mar	112.44	105.18	02-Mar	109.81	TRUE	FALSE	22				
			03-Mar	112.05	107.02	03-Mar	109.53	FALSE	FALSE	23				
			04-Mar	115.96	110.27	04-Mar	112.68	TRUE	FALSE	24				
			07-Mar	121.88	115.54	07-Mar	116.22	TRUE	FALSE	25				
			08-Mar	129.44	119.62	08-Mar	125.21	TRUE	FALSE	26				
			09-Mar	119.5	103.63	09-Mar	117.45	FALSE	TRUE	27				
			10-Mar	114.7	105.74	10-Mar	113.15	FALSE	FALSE	28				
			11-Mar	110.29	105.61	11-Mar	107.23	FALSE	FALSE	29				
			14-Mar	105.35	99.76	14-Mar	104.09	FALSE	TRUE	30				
			15-Mar	98.37	93.53	15-Mar	95.99	FALSE	TRUE	31				
			16-Mar	99.1	94.07	16-Mar	98.11	FALSE	FALSE	32				
			17-Mar	102.45	99.05	17-Mar	100.31	TRUE	FALSE	33				
			18-Mar	103.53	101.28	18-Mar	102.52	TRUE	FALSE	34				
			21-Mar	110.39	106.97	21-Mar	107.23	TRUE	FALSE	35				
			22-Mar	110.83	107.57	22-Mar	109.23	FALSE	FALSE	36				
			23-Mar	115.4	112.78	23-Mar	113.73	TRUE	FALSE	37				
			24-Mar	114.73	110.61	24-Mar	114.27	FALSE	FALSE	38				
			25-Mar	114.12	108.77	25-Mar	110.2	FALSE	TRUE	39				
			28-Mar	108.46	104.5	28-Mar	106.35	FALSE	TRUE	40				
			29-Mar	105.47	99.19	29-Mar	99.53	FALSE	TRUE	41				
			30-Mar	108.75	106.42	30-Mar	107.81	TRUE	FALSE	42				
			31-Mar	104.72	99.66	31-Mar	103.25	FALSE	TRUE	43				
			01-Apr	101	98.76	01-Apr	99.19	FALSE	TRUE	44				
			04-Apr	103.71	101.14	04-Apr	102.75	TRUE	FALSE	45				
			05-Apr	105.11	101.43	05-Apr	104.03	TRUE	FALSE	46				
			06-Apr	103.29	95.73	06-Apr	102.13	FALSE	FALSE	47				
			07-Apr	98.14	93.81	07-Apr	97.26	FALSE	FALSE	48				
			08-Apr	98.76	95.62	08-Apr	96.16	FALSE	FALSE	49				
			11-Apr	95.88	93.65	11-Apr	94.38	FALSE	TRUE	50				
			12-Apr	101.35	97.61	12-Apr	98.95	TRUE	FALSE	51				
			13-Apr	104.43	100.64	13-Apr	102.48	TRUE	FALSE	52				
			14-Apr	107.64	102.12	14-Apr	102.81	FALSE	FALSE	53				
			18-Apr	109.2	106.51	18-Apr	107.61	FALSE	FALSE	54				
			19-Apr	105.24	101.51	19-Apr	104	FALSE	TRUE	55				
			20-Apr	103.4	99.88	20-Apr	102.72	FALSE	FALSE	56				
			21-Apr	105.42	102.21	21-Apr	103.92	TRUE	FALSE	57				
			22-Apr	102.92	101.4	22-Apr	102.19	FALSE	TRUE	58				
			25-Apr	99.41	95.28	25-Apr	96.34	FALSE	TRUE	59				
			26-Apr	102.78	98.72	26-Apr	100	TRUE	FALSE	60				
			27-Apr	102.44	99.8	27-Apr	100.18	FALSE	FALSE	61				
			28-Apr	105.68	101.45	28-Apr	102.14	FALSE	FALSE	62				
			29-Apr	107.99	104.2	29-Apr	106.49	TRUE	FALSE	63				
			02-May	105.71	100.4	02-May	101.36	FALSE	TRUE	64				
			03-May	105	102.1	03-May	103.7	FALSE	FALSE	65				
			04-May	108.61	105.65	04-May	106.87	TRUE	FALSE	66				
			05-May	111.37	106.45	05-May	110.71	TRUE	FALSE	67				
			06-May	111.18	108.23	06-May	109.86	FALSE	FALSE	68				
			09-May	108.23	102.45	09-May	107.09	FALSE	TRUE	69				
			10-May	103.68	98.86	10-May	103.3	FALSE	FALSE	70				
			11-May	106.44	102.5	11-May	104.32	TRUE	FALSE	71				
			12-May	107.37	104	12-May	105.99	FALSE	FALSE	72				
			13-May	110.64	108.26	13-May	109.18	TRUE	FALSE	73				
			16-May	114.9	109.89	16-May	110.11	FALSE	FALSE	74				
			17-May	115.52	112.16	17-May	114.52	FALSE	FALSE	75				
			18-May	111.59	106.06	18-May	110.67	FALSE	TRUE	76				
			19-May	110	103.36	19-May	105.59	FALSE	TRUE	77				
			20-May	111.04	108.74	20-May	110.07	TRUE	FALSE	78				
			23-May	111.23	109.15	23-May	110.18	FALSE	FALSE	79				
			24-May	111.43	109.11	24-May	110.25	FALSE	FALSE	80				
			25-May	111.19	109.23	25-May	110.43	FALSE	FALSE	81				
			26-May	114.83	110.92	26-May	112.13	TRUE	FALSE	82				
			27-May	115.3	113.24	27-May	113.68	FALSE	FALSE	83				
			30-May	117.35	115.49	30-May	115.65	TRUE	FALSE	84				
			31-May	119.98	114.15	31-May	118.96	TRUE	FALSE	85				
			01-Jun	117.87	114.82	01-Jun	117.06	FALSE	FALSE	86				
			02-Jun	117.56	113.8	02-Jun	115.33	FALSE	FALSE	87				
			03-Jun	119.78	116.75	03-Jun	117.12	FALSE	FALSE	88				
			06-Jun	119.83	117.63	06-Jun	119.66	FALSE	FALSE	89				
			07-Jun	120.26	117.14	07-Jun	118.33	FALSE	FALSE	90				
			08-Jun	123.18	119.44	08-Jun	120.27	TRUE	FALSE	91				
			09-Jun	122.09	120.79	09-Jun	121.27	FALSE	FALSE	92				
			10-Jun	121.73	118.33	10-Jun	120.76	FALSE	TRUE	93				
			13-Jun	122.25	117.47	13-Jun	119.61	FALSE	FALSE	94				
			14-Jun	123.68	118.15	14-Jun	122.33	TRUE	FALSE	95				
			15-Jun	118.89	114.6	15-Jun	118.01	FALSE	TRUE	96				
			16-Jun	115.73	110.43	16-Jun	112.23	FALSE	TRUE	97				
			17-Jun	114.19	106.4	17-Jun	113.02	FALSE	FALSE	98				
			20-Jun	109.14	107.13	20-Jun	107.93	FALSE	FALSE	99				
			21-Jun	111.16	108.85	21-Jun	110.04	TRUE	FALSE	100				
			22-Jun	107.29	101.53	22-Jun	102.33	FALSE	TRUE	101				
			23-Jun	107.05	103.61	23-Jun	106.64	FALSE	FALSE	102				
			24-Jun	108.58	104.9	24-Jun	105.65	FALSE	FALSE	103				
			27-Jun	110.54	106.04	27-Jun	107.44	FALSE	FALSE	104				
			28-Jun	112.22	109.62	28-Jun	110.84	TRUE	FALSE	105				
			29-Jun	114.05	109.33	29-Jun	113.27	TRUE	FALSE	106				
			30-Jun	109.61	105.1	30-Jun	108.14	FALSE	TRUE	107				
			01-Jul	109.34	106.88	01-Jul	108.55	FALSE	FALSE	108				
			04-Jul	110.77	109.45	04-Jul	109.75	TRUE	FALSE	109				
			05-Jul	108.21	97.43	05-Jul	104.24	FALSE	TRUE	110				
			06-Jul	100.38	95.1	06-Jul	97.87	FALSE	FALSE	111				
