 Time	 09:30:00
	
Row Labels	Sum of  Open
31-Jan	87.58
01-Feb	87.61
02-Feb	88.75
03-Feb	87.69
04-Feb	92.06
07-Feb	91.41
08-Feb	89.96
09-Feb	89.76
10-Feb	89.61
11-Feb	90.95
14-Feb	92.47
15-Feb	91.81
16-Feb	93.34
17-Feb	89.33
18-Feb	88.16
21-Feb	90.81
22-Feb	93.42
23-Feb	91.68
24-Feb	99.04
25-Feb	92.13
28-Feb	95.01
01-Mar	101.07
02-Mar	109.81
03-Mar	109.53
04-Mar	112.68
07-Mar	116.22
08-Mar	125.21
09-Mar	117.45
10-Mar	113.15
11-Mar	107.23
14-Mar	104.09
15-Mar	95.99
16-Mar	98.11
17-Mar	100.31
18-Mar	102.52
21-Mar	107.23
22-Mar	109.23
23-Mar	113.73
24-Mar	114.27
25-Mar	110.2
28-Mar	106.35
29-Mar	99.53
30-Mar	107.81
31-Mar	103.25
01-Apr	99.19
04-Apr	102.75
05-Apr	104.03
06-Apr	102.13
07-Apr	97.26
08-Apr	96.16
11-Apr	94.38
12-Apr	98.95
13-Apr	102.48
14-Apr	102.81
18-Apr	107.61
19-Apr	104
20-Apr	102.72
21-Apr	103.92
22-Apr	102.19
25-Apr	96.34
26-Apr	100
27-Apr	100.18
28-Apr	102.14
29-Apr	106.49
02-May	101.36
03-May	103.7
04-May	106.87
05-May	110.71
06-May	109.86
09-May	107.09
10-May	103.3
11-May	104.32
12-May	105.99
13-May	109.18
16-May	110.11
17-May	114.52
18-May	110.67
19-May	105.59
20-May	110.07
23-May	110.18
24-May	110.25
25-May	110.43
26-May	112.13
27-May	113.68
30-May	115.65
31-May	118.96
01-Jun	117.06
02-Jun	115.33
03-Jun	117.12
06-Jun	119.66
07-Jun	118.33
08-Jun	120.27
09-Jun	121.27
10-Jun	120.76
13-Jun	119.61
14-Jun	122.33
15-Jun	118.01
16-Jun	112.23
17-Jun	113.02
20-Jun	107.93
21-Jun	110.04
22-Jun	102.33
23-Jun	106.64
24-Jun	105.65
27-Jun	107.44
28-Jun	110.84
29-Jun	113.27
30-Jun	108.14
01-Jul	108.55
04-Jul	109.75
05-Jul	104.24
06-Jul	97.87
07-Jul	102.86
08-Jul	104.68
11-Jul	103.45
12-Jul	99.09
13-Jul	95.9
14-Jul	92.75
15-Jul	98.05
18-Jul	98.84
19-Jul	97.66
20-Jul	99.3
21-Jul	95.99
22-Jul	95.39
25-Jul	96.28
26-Jul	98.01
27-Jul	96.47
28-Jul	98.8
29-Jul	99.69
01-Aug	93.62
02-Aug	94.46
03-Aug	94.4
04-Aug	89.72
05-Aug	87.14
08-Aug	88.31
09-Aug	91.44
10-Aug	90.19
11-Aug	93.31
12-Aug	92.7
15-Aug	87.18
16-Aug	88.68
17-Aug	87.09
18-Aug	89.25
19-Aug	90.07
22-Aug	87.99
23-Aug	92.21
24-Aug	93.76
25-Aug	95.57
29-Aug	94.39
30-Aug	93.9
31-Aug	89.75
01-Sep	87.61
02-Sep	89.2
05-Sep	90.06
06-Sep	87.84
07-Sep	83.72
08-Sep	83.3
09-Sep	85.65
12-Sep	88.33
13-Sep	87.66
14-Sep	88.52
15-Sep	86.88
16-Sep	85.47
19-Sep	82.13
20-Sep	84.43
21-Sep	85.59
22-Sep	85.36
23-Sep	79.51
26-Sep	79.19
27-Sep	77.96
28-Sep	79.56
29-Sep	82.31
30-Sep	80.24
03-Oct	84.16
04-Oct	85.97
05-Oct	87.26
06-Oct	87.72
07-Oct	89.35
10-Oct	92.58
11-Oct	89.24
12-Oct	88.15
13-Oct	86.36
14-Oct	87.44
24-Oct	84.81
25-Oct	85.02
26-Oct	86.05
27-Oct	89.35
28-Oct	87.85
31-Oct	86.33
01-Nov	89.03
02-Nov	88.21
03-Nov	87.92
04-Nov	92.07
07-Nov	92.61
08-Nov	91.57
09-Nov	87.71
10-Nov	85.52
11-Nov	89.18
14-Nov	87.68
15-Nov	85.16
16-Nov	85.22
17-Nov	83.51
18-Nov	78.25
21-Nov	77.09
22-Nov	81.13
23-Nov	78.25
24-Nov	77.73
25-Nov	78.36
Grand Total	20308.29
