 Time	(Multiple Items)	
		
Row Labels	Max of  High	Min of  Low
31-Jan	88.25	86.34
01-Feb	88.87	86.55
02-Feb	89.46	87.1
03-Feb	90.37	87.3
04-Feb	93.17	91.76
07-Feb	92.26	90.88
08-Feb	90.31	88.51
09-Feb	90.58	88.91
10-Feb	91.74	89.03
11-Feb	94.66	90.63
14-Feb	95.82	92.19
15-Feb	92.82	90.66
16-Feb	95.01	92.88
17-Feb	91.04	89.06
18-Feb	91.07	87.73
21-Feb	92.95	90.5
22-Feb	93.59	91.04
23-Feb	93.9	91.28
24-Feb	99.73	91.45
25-Feb	92.98	90.06
28-Feb	96.84	94.43
01-Mar	106.78	100.44
02-Mar	112.44	105.18
03-Mar	112.05	107.02
04-Mar	115.96	110.27
07-Mar	121.88	115.54
08-Mar	129.44	119.62
09-Mar	119.5	103.63
10-Mar	114.7	105.74
11-Mar	110.29	105.61
14-Mar	105.35	99.76
15-Mar	98.37	93.53
16-Mar	99.1	94.07
17-Mar	102.45	99.05
18-Mar	103.53	101.28
21-Mar	110.39	106.97
22-Mar	110.83	107.57
23-Mar	115.4	112.78
24-Mar	114.73	110.61
25-Mar	114.12	108.77
28-Mar	108.46	104.5
29-Mar	105.47	99.19
30-Mar	108.75	106.42
31-Mar	104.72	99.66
01-Apr	101	98.76
04-Apr	103.71	101.14
05-Apr	105.11	101.43
06-Apr	103.29	95.73
07-Apr	98.14	93.81
08-Apr	98.76	95.62
11-Apr	95.88	93.65
12-Apr	101.35	97.61
13-Apr	104.43	100.64
14-Apr	107.64	102.12
18-Apr	109.2	106.51
19-Apr	105.24	101.51
20-Apr	103.4	99.88
21-Apr	105.42	102.21
22-Apr	102.92	101.4
25-Apr	99.41	95.28
26-Apr	102.78	98.72
27-Apr	102.44	99.8
28-Apr	105.68	101.45
29-Apr	107.99	104.2
02-May	105.71	100.4
03-May	105	102.1
04-May	108.61	105.65
05-May	111.37	106.45
06-May	111.18	108.23
09-May	108.23	102.45
10-May	103.68	98.86
11-May	106.44	102.5
12-May	107.37	104
13-May	110.64	108.26
16-May	114.9	109.89
17-May	115.52	112.16
18-May	111.59	106.06
19-May	110	103.36
20-May	111.04	108.74
23-May	111.23	109.15
24-May	111.43	109.11
25-May	111.19	109.23
26-May	114.83	110.92
27-May	115.3	113.24
30-May	117.35	115.49
31-May	119.98	114.15
01-Jun	117.87	114.82
02-Jun	117.56	113.8
03-Jun	119.78	116.75
06-Jun	119.83	117.63
07-Jun	120.26	117.14
08-Jun	123.18	119.44
09-Jun	122.09	120.79
10-Jun	121.73	118.33
13-Jun	122.25	117.47
14-Jun	123.68	118.15
15-Jun	118.89	114.6
16-Jun	115.73	110.43
17-Jun	114.19	106.4
20-Jun	109.14	107.13
21-Jun	111.16	108.85
22-Jun	107.29	101.53
23-Jun	107.05	103.61
24-Jun	108.58	104.9
27-Jun	110.54	106.04
28-Jun	112.22	109.62
29-Jun	114.05	109.33
30-Jun	109.61	105.1
01-Jul	109.34	106.88
04-Jul	110.77	109.45
05-Jul	108.21	97.43
06-Jul	100.38	95.1
07-Jul	104.48	99.66
08-Jul	105.24	102.51
11-Jul	104.57	101.04
12-Jul	99.99	95.41
13-Jul	97.96	94.8
14-Jul	96.85	90.56
15-Jul	99.03	96.67
18-Jul	99.62	96.97
19-Jul	100.99	96.52
20-Jul	100.72	98.16
21-Jul	97.49	95.32
22-Jul	97.66	94.56
25-Jul	96.94	94.96
26-Jul	98.57	94.76
27-Jul	98	94.3
28-Jul	99.18	96.04
29-Jul	101.88	98.34
01-Aug	95.47	92.42
02-Aug	96.47	93.17
03-Aug	96.3	90.38
04-Aug	91.01	87.55
05-Aug	90.76	87.01
08-Aug	90.89	87.44
09-Aug	92.65	89.72
10-Aug	92.43	87.66
11-Aug	95.05	92.19
12-Aug	93.51	91.16
15-Aug	89.6	86.94
16-Aug	90.31	85.73
17-Aug	89.16	86.18
18-Aug	91.03	88.62
19-Aug	91.69	88.79
22-Aug	90.51	86.28
23-Aug	94.22	91.44
24-Aug	95.16	92.79
25-Aug	95.74	92.29
26-Aug	93.27	93.01
29-Aug	97.37	93.76
30-Aug	95.04	90.54
31-Aug	91.61	88.93
01-Sep	88.53	85.98
02-Sep	89.57	86.62
05-Sep	90.39	88.57
06-Sep	88.02	86.27
07-Sep	86.16	81.7
08-Sep	84.25	82.11
09-Sep	87.2	85.3
12-Sep	89.1	87.36
13-Sep	88.54	85.06
14-Sep	90.19	87.43
15-Sep	87.24	84.53
16-Sep	86.18	84.34
19-Sep	85.44	81.75
20-Sep	85.85	83.01
21-Sep	85.88	82.49
22-Sep	86	82.97
23-Sep	80.79	78.04
26-Sep	80.31	76.49
27-Sep	79.51	77.31
28-Sep	82.34	79.08
29-Sep	82.94	80.77
30-Sep	81.22	79.14
03-Oct	84.56	82.18
04-Oct	86.98	85.07
05-Oct	88.42	85.42
06-Oct	88.78	87.3
07-Oct	93.26	89.12
10-Oct	93.64	90.56
11-Oct	90.08	88.3
12-Oct	88.84	86.28
13-Oct	89.66	85.72
14-Oct	88.15	85.2
24-Oct	85.92	83.04
25-Oct	86.03	83.81
26-Oct	88.41	85.82
27-Oct	89.79	88.51
28-Oct	88.72	87.08
31-Oct	87.83	85.3
01-Nov	89.45	87.52
02-Nov	90.36	87.76
03-Nov	89.05	87.6
04-Nov	92.87	90.71
07-Nov	93.74	91.6
08-Nov	91.76	88.66
09-Nov	88.42	85.54
10-Nov	87.35	84.93
11-Nov	90.1	87.95
14-Nov	89	85.27
15-Nov	88.68	84.43
16-Nov	85.85	84.2
17-Nov	84.28	81.19
18-Nov	80.33	77.59
21-Nov	80.5	75.27
22-Nov	82.36	80.64
23-Nov	78.96	76.83
24-Nov	78.21	76.91
25-Nov	78.81	76.22
Grand Total	129.44	75.27
